,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
207,y9kqllez,207,https://www.speedrun.com/sm64/run/y9kqllez,2024-01-28T04:27:15Z,6491,6491,j20qnrlx,MrFroggy,United States,EMU,Yes
208,y2ppkw9z,209,https://www.speedrun.com/sm64/run/y2ppkw9z,2022-05-30T22:38:39Z,6494,6494,qjok7l78,TwitchName,United States,N64,Yes
209,mkqr5x5m,209,https://www.speedrun.com/sm64/run/mkqr5x5m,2024-01-16T16:52:36Z,6494,6494,816nqwqx,Zaikenator,United States,N64,Yes
210,yl6q8d2y,211,https://www.speedrun.com/sm64/run/yl6q8d2y,2023-06-13T14:01:55Z,6495,6495,98rky4qx,BigCheese,United States,VC,Yes
211,yo4gd91m,212,https://www.speedrun.com/sm64/run/yo4gd91m,2018-04-09T17:34:02Z,6500,6500,kjppl92j,quiilucru,,N64,Yes
212,zn226qlz,212,https://www.speedrun.com/sm64/run/zn226qlz,2024-05-17T10:10:56Z,6500,6500,18qrd50j,wermi,Poland,N64,Yes
213,yjw7wrom,214,https://www.speedrun.com/sm64/run/yjw7wrom,2024-01-18T05:42:16Z,6503,6503,y8dz54gj,Maosfx,United States,N64,Yes
214,wzp3o3rm,215,https://www.speedrun.com/sm64/run/wzp3o3rm,2015-09-09T18:03:15Z,6505,6505,48gem41j,igreil,United States,N64,Yes
215,m70o3gwy,215,https://www.speedrun.com/sm64/run/m70o3gwy,2023-07-27T05:54:24Z,6505,6505,zxz67wn8,AJLane,United States,N64,Yes
216,y6qkd81z,215,https://www.speedrun.com/sm64/run/y6qkd81z,2024-02-08T14:40:48Z,6505,6505,8lr5gl78,Majora_AG,Norway,EMU,Yes
217,y4gkr9ky,218,https://www.speedrun.com/sm64/run/y4gkr9ky,2023-02-22T07:07:20Z,6508,6508,xkm3lk7j,Nonag,Germany,EMU,Yes
218,yd18k1jy,219,https://www.speedrun.com/sm64/run/yd18k1jy,2022-08-01T00:38:22Z,6509,6509,8v55qvej,Lucinovic,Netherlands,N64,Yes
219,ywng7o0y,220,https://www.speedrun.com/sm64/run/ywng7o0y,2023-12-27T05:15:49Z,6513,6513,j2w1w5lj,RONC3NA,United States,N64,Yes
220,y6vg2v6m,221,https://www.speedrun.com/sm64/run/y6vg2v6m,2024-05-27T12:05:50Z,6521,6521,863w7qw8,sakoi,Japan,N64,Yes
221,zp2406xy,222,https://www.speedrun.com/sm64/run/zp2406xy,2021-12-18T12:10:45Z,6525,6525,18qowewj,Majoog,South Korea,EMU,Yes
222,yv8vnkom,222,https://www.speedrun.com/sm64/run/yv8vnkom,2023-02-25T03:00:06Z,6525,6525,8wlk4n4j,Kaimatix,England,N64,Yes
223,y62w2q0z,224,https://www.speedrun.com/sm64/run/y62w2q0z,2023-08-17T02:05:31Z,6531,6531,qj2pr078,roddy,Brazil,EMU,Yes
224,emk1xxy6,225,https://www.speedrun.com/sm64/run/emk1xxy6,,6538,6538,,,,N64,No
225,y2292owy,226,https://www.speedrun.com/sm64/run/y2292owy,2024-02-16T01:46:56Z,6541,6541,xko6o278,Seceon,Chile,N64,Yes
226,z1kdkwry,227,https://www.speedrun.com/sm64/run/z1kdkwry,2023-09-09T13:20:23Z,6543,6543,8vkn1mnj,madware,Chile,N64,Yes
227,yjojrqoz,228,https://www.speedrun.com/sm64/run/yjojrqoz,2024-02-17T07:48:31Z,6544,6544,8ek14278,Zinsch,Denmark,EMU,Yes
228,7z08q4m5,228,https://www.speedrun.com/sm64/run/7z08q4m5,,6544,6544,e8eepzo8,alextolio,Greece,VC,No
229,zpp54rxz,230,https://www.speedrun.com/sm64/run/zpp54rxz,2024-01-15T04:35:49Z,6548,6548,j519wqn8,Rodillo,Spain,VC,Yes
230,y69ewvpy,231,https://www.speedrun.com/sm64/run/y69ewvpy,2021-10-19T01:16:27Z,6551,6551,1xyky4n8,thags15,United States,N64,Yes
231,mkpprd5y,232,https://www.speedrun.com/sm64/run/mkpprd5y,2024-05-17T02:15:44Z,6556,6556,8rpwpnqj,xInf3rn0,United States,N64,Yes
232,mk2pw2vm,233,https://www.speedrun.com/sm64/run/mk2pw2vm,2019-12-22T17:48:40Z,6557,6557,7j47lplj,dumpdome64,United States,EMU,Yes
233,y22nxe5y,234,https://www.speedrun.com/sm64/run/y22nxe5y,2024-05-26T01:13:41Z,6559,6559,zx7yqrx7,Voodle,United States,EMU,Yes
234,yldodj3m,235,https://www.speedrun.com/sm64/run/yldodj3m,2024-03-23T12:47:52Z,6561,6561,81qg7ylj,ZachTunes,United States,N64,Yes
235,mkp9ewvy,236,https://www.speedrun.com/sm64/run/mkp9ewvy,2024-02-25T21:54:11Z,6563,6563,xylw0wmj,Linkarf,Québec,N64,Yes
236,0zn9d7yn,237,https://www.speedrun.com/sm64/run/0zn9d7yn,,6566,6566,zx7dpyx7,Holahu,England,EMU,Yes
237,9mrxwgmq,238,https://www.speedrun.com/sm64/run/9mrxwgmq,,6567,6567,48gr9rpx,sicko,England,N64,No
238,zqev3jrz,239,https://www.speedrun.com/sm64/run/zqev3jrz,2023-01-18T07:48:34Z,6568,6568,1xyo90yj,Avijobat,Mexico,VC,Yes
239,zxqxj55m,239,https://www.speedrun.com/sm64/run/zxqxj55m,2024-05-22T20:20:26Z,6568,6568,8r7eqr6j,Itz_Me_Coreyyy,United States,N64,Yes
240,zp6k2xvm,241,https://www.speedrun.com/sm64/run/zp6k2xvm,2024-05-26T13:31:44Z,6569,6569,86nnlvqx,Banova8,France,N64,Yes
241,m3gl3pqz,242,https://www.speedrun.com/sm64/run/m3gl3pqz,2020-11-22T10:49:58Z,6572,6572,pj0ke0m8,SeanRaider,Canada,N64,Yes
242,zpg9oegz,242,https://www.speedrun.com/sm64/run/zpg9oegz,2023-02-02T16:30:40Z,6572,6572,e8evzg7x,gamiru,Japan,N64,Yes
243,pyd0r8wz,244,https://www.speedrun.com/sm64/run/pyd0r8wz,2015-07-08T11:25:04Z,6573,6573,kj9rv7j4,Washeyy,Australia,N64,No
244,zgej22ey,244,https://www.speedrun.com/sm64/run/zgej22ey,2023-07-31T23:45:07Z,6573,6573,8lpl934j,PegiTheLoca,Germany,EMU,Yes
245,7yl97lny,246,https://www.speedrun.com/sm64/run/7yl97lny,2014-12-24T07:11:47Z,6574,6574,18vo42xl,SimpleFlips,United States,N64,Yes
246,9mee5g0m,247,https://www.speedrun.com/sm64/run/9mee5g0m,2016-05-25T22:48:39Z,6575,6575,e8e9ze2j,ohaithereman,United States,N64,Yes
247,8y84qe1z,247,https://www.speedrun.com/sm64/run/8y84qe1z,2017-01-31T20:06:08Z,6575,6575,v8l732jm,Jolteon92,England,N64,Yes
248,y6qqgk6z,249,https://www.speedrun.com/sm64/run/y6qqgk6z,2023-12-19T16:23:59Z,6578,6578,e8ewrz78,ariapath,Australia,EMU,Yes
249,y9j0e0km,250,https://www.speedrun.com/sm64/run/y9j0e0km,2024-03-11T14:05:36Z,6579,6579,8l3ldyl8,jumpmanmatthew,United States,N64,Yes
250,zqw5e99z,251,https://www.speedrun.com/sm64/run/zqw5e99z,2020-08-07T13:18:01Z,6580,6580,qxk4q47j,Redd,United States,N64,Yes
251,z0jkx64y,251,https://www.speedrun.com/sm64/run/z0jkx64y,2023-08-11T16:31:31Z,6580,6580,kj9z6pn8,Sunnard,France,EMU,Yes
252,pm3j4dz0,253,https://www.speedrun.com/sm64/run/pm3j4dz0,2023-09-27T00:22:15Z,6582,6582,,,,N64,No
253,y95nxnvz,253,https://www.speedrun.com/sm64/run/y95nxnvz,2019-08-07T00:39:50Z,6582,6582,98r2y03x,SoloQ,United States,EMU,Yes
254,y8q3d6dy,255,https://www.speedrun.com/sm64/run/y8q3d6dy,2017-04-05T17:12:43Z,6584,6584,y8dw0vgj,TylerSM74,Canada,N64,Yes
255,zp4o29nz,255,https://www.speedrun.com/sm64/run/zp4o29nz,2020-01-23T06:32:18Z,6584,6584,y8d4ng86,CarlosDaMan,United States,N64,Yes
256,yj2n43om,255,https://www.speedrun.com/sm64/run/yj2n43om,2023-08-31T16:58:23Z,6584,6584,x3q4rqqj,52koney,Japan,N64,Yes
257,y97gn22m,258,https://www.speedrun.com/sm64/run/y97gn22m,2018-03-23T12:38:56Z,6587,6587,,,,N64,Yes
258,ywn5pg9y,258,https://www.speedrun.com/sm64/run/ywn5pg9y,2024-01-15T02:14:14Z,6587,6587,48goorxp,RetroRuns,England,N64,Yes
259,pydk5nxm,260,https://www.speedrun.com/sm64/run/pydk5nxm,2017-03-13T09:36:43Z,6589,6589,,,,N64,Yes
260,mrqoq88y,261,https://www.speedrun.com/sm64/run/mrqoq88y,2017-11-22T00:30:24Z,6592,6592,qjo26208,YarvishSaseko,Japan,N64,Yes
261,y2g54g5z,262,https://www.speedrun.com/sm64/run/y2g54g5z,2023-05-26T02:35:49Z,6594,6594,8qz4y5o8,JamesBod,Canada,N64,Yes
262,y45wkxdm,263,https://www.speedrun.com/sm64/run/y45wkxdm,2017-07-01T07:16:48Z,6595,6595,e8e6k12j,kumasyatyou,Japan,N64,Yes
263,z5kwwknz,263,https://www.speedrun.com/sm64/run/z5kwwknz,2024-01-13T06:03:45Z,6595,6595,xz27v1nx,NewmanBeatbox,United States,EMU,Yes
264,z03vnr8z,265,https://www.speedrun.com/sm64/run/z03vnr8z,2019-05-07T22:13:22Z,6596,6596,1xy06qnj,Squirr3I,United States,N64,Yes
265,zq12k31m,266,https://www.speedrun.com/sm64/run/zq12k31m,2021-06-22T23:59:38Z,6597,6597,dx307r6x,NicV,United States,N64,Yes
266,pzggnnez,267,https://www.speedrun.com/sm64/run/pzggnnez,2015-09-23T18:27:09Z,6598,6598,,,,N64,No
267,yvv85goy,267,https://www.speedrun.com/sm64/run/yvv85goy,2023-12-04T05:21:40Z,6598,6598,v81gypl8,realblopez,United States,N64,Yes
268,oy2w45yd,269,https://www.speedrun.com/sm64/run/oy2w45yd,,6599,6599,,,,N64,Yes
269,7z0q49m5,269,https://www.speedrun.com/sm64/run/7z0q49m5,2023-09-27T00:17:14Z,6599,6599,xz9k6ye8,Rorotto,Japan,N64,No
270,yl4xdgkm,269,https://www.speedrun.com/sm64/run/yl4xdgkm,2019-01-29T21:04:36Z,6599,6599,48gyr78p,TheoryLocked,Austria,EMU,No
271,mrlql32m,269,https://www.speedrun.com/sm64/run/mrlql32m,2023-05-03T13:54:18Z,6599,6599,zxz1vorj,Karyno,France,N64,Yes
272,ywn6243y,269,https://www.speedrun.com/sm64/run/ywn6243y,2023-11-26T22:36:07Z,6599,6599,pj0322mj,Erthide,Québec,VC,Yes
273,m7g8de9m,274,https://www.speedrun.com/sm64/run/m7g8de9m,2020-05-11T00:15:34Z,6606,6606,qj26nnnx,Marteeny,Japan,N64,Yes
274,ylkox42z,275,https://www.speedrun.com/sm64/run/ylkox42z,2020-05-13T13:44:21Z,6608,6608,zx75q087,Vincertain,Québec,N64,Yes
275,yo4d1q0m,276,https://www.speedrun.com/sm64/run/yo4d1q0m,2017-11-21T04:55:14Z,6613,6613,18q3o2oj,dazrin_,Canada,N64,Yes
276,zgwvwj0y,277,https://www.speedrun.com/sm64/run/zgwvwj0y,2020-05-02T15:01:58Z,6618,6618,dx35qr2j,Jebuskiller,Australia,N64,Yes
277,m7nqqk4z,277,https://www.speedrun.com/sm64/run/m7nqqk4z,2024-03-02T00:20:07Z,6618,6618,x3w377ej,AbUnderscored,Jordan,EMU,Yes
278,zgeo7key,279,https://www.speedrun.com/sm64/run/zgeo7key,2023-07-24T23:07:56Z,6620,6620,8e6qyddj,Salemba,Austria,EMU,Yes
279,znv4dp3m,280,https://www.speedrun.com/sm64/run/znv4dp3m,2023-05-13T08:17:05Z,6624,6624,j5v799w8,Naraknight,United States,N64,Yes
280,zp8lnwvy,281,https://www.speedrun.com/sm64/run/zp8lnwvy,2021-08-17T09:27:15Z,6640,6640,18v2l4ej,Zombie2,Canada,EMU,Yes
281,y2jojd9z,282,https://www.speedrun.com/sm64/run/y2jojd9z,2023-04-13T07:05:59Z,6643,6643,jn37ppdx,cookincat,United States,EMU,Yes
282,mro86o7m,283,https://www.speedrun.com/sm64/run/mro86o7m,2022-12-12T20:14:49Z,6662,6662,zxzqlnrx,Cysse,Nauru,EMU,Yes
283,yjx27l7z,284,https://www.speedrun.com/sm64/run/yjx27l7z,2022-02-05T08:04:49Z,6664,6664,8w1wp94x,CheZach,Canada,N64,Yes
284,mk44vevy,285,https://www.speedrun.com/sm64/run/mk44vevy,2017-05-01T07:16:12Z,6668,6668,18vomvxl,Dublin,United States,N64,Yes
285,zq87xe1z,286,https://www.speedrun.com/sm64/run/zq87xe1z,2024-04-19T00:13:09Z,6669,6669,0jmn1vnx,Mennismonk,England,N64,Yes
286,z0pponey,287,https://www.speedrun.com/sm64/run/z0pponey,2022-05-29T20:10:24Z,6674,6674,0jmvr1yj,Lusion,United States,EMU,Yes
287,yv12dd4y,288,https://www.speedrun.com/sm64/run/yv12dd4y,2021-05-09T20:57:24Z,6675,6675,zxzn5q4x,RWBYSorry,England,EMU,Yes
288,y8qd0nwy,289,https://www.speedrun.com/sm64/run/y8qd0nwy,2017-08-23T14:46:09Z,6680,6680,qj2367xk,bounceyboy,United States,N64,Yes
289,y6oj4pqy,290,https://www.speedrun.com/sm64/run/y6oj4pqy,2023-03-21T05:35:16Z,6681,6681,8w12vnqx,LowAppeal,United States,N64,Yes
290,yvg2nnoy,291,https://www.speedrun.com/sm64/run/yvg2nnoy,2017-08-08T08:16:53Z,6686,6686,zx72o068,naji,Sri Lanka,N64,Yes
291,zqdnl98m,291,https://www.speedrun.com/sm64/run/zqdnl98m,2024-01-25T17:48:24Z,6686,6686,zx762vj7,Luco,United States,N64,Yes
292,m7770l4m,293,https://www.speedrun.com/sm64/run/m7770l4m,2021-09-02T16:58:38Z,6691,6691,86vwom0j,WaterproofTeabag_,Australia,N64,Yes
293,y6vv38jm,294,https://www.speedrun.com/sm64/run/y6vv38jm,2024-05-12T20:52:59Z,6699,6699,0jmw6wex,Bombs,United States,N64,Yes
294,me0r200z,295,https://www.speedrun.com/sm64/run/me0r200z,2024-02-11T03:51:39Z,6706,6706,qjnp448m,Vorago,United Kingdom,N64,Yes
295,pyd9wrvz,296,https://www.speedrun.com/sm64/run/pyd9wrvz,2015-08-23T15:23:29Z,6707,6707,98rp3q6j,joeys64,Netherlands,VC,Yes
296,yvl0e3oz,297,https://www.speedrun.com/sm64/run/yvl0e3oz,2024-04-24T04:40:31Z,6711,6711,xzlelze8,xWicko,Australia,N64,Yes
297,z5pl3jnm,298,https://www.speedrun.com/sm64/run/z5pl3jnm,2023-07-30T10:48:47Z,6712,6712,8end5g78,SonicGordon6,United States,EMU,Yes
298,yvq528em,299,https://www.speedrun.com/sm64/run/yvq528em,2022-03-06T07:56:38Z,6713,6713,qjopvonx,ClairDSS,United States,VC,Yes
299,ywq1k82y,300,https://www.speedrun.com/sm64/run/ywq1k82y,2021-04-14T20:21:44Z,6715,6715,qjoddd3x,Hakasay,United States,N64,Yes
300,7z0vxeoy,301,https://www.speedrun.com/sm64/run/7z0vxeoy,2017-03-21T08:45:03Z,6716,6716,qj26mlxk,ClysmiC,,N64,Yes
301,9meg50y7,302,https://www.speedrun.com/sm64/run/9meg50y7,,6732,6732,o863r08z,Seanzy,United States,N64,No
302,z0nr589m,303,https://www.speedrun.com/sm64/run/z0nr589m,2023-01-12T21:55:16Z,6740,6740,jnz2ykqj,ShaDowSPoweR,France,EMU,Yes
303,yw6kdqpm,304,https://www.speedrun.com/sm64/run/yw6kdqpm,2022-08-28T03:59:01Z,6743,6743,xzlq0er8,r1cef4rmer,United States,EMU,Yes
304,m7nep84z,305,https://www.speedrun.com/sm64/run/m7nep84z,2024-05-25T05:13:57Z,6745,6745,8lpgwllj,Vadien,United States,N64,Yes
305,z1lpj5gm,306,https://www.speedrun.com/sm64/run/z1lpj5gm,2023-06-25T18:24:34Z,6747,6747,8vo90m5x,Nicolascs83,Spain,N64,Yes
306,m73jgewy,307,https://www.speedrun.com/sm64/run/m73jgewy,2024-01-21T17:22:44Z,6750,6750,j92132o8,AlexKR64,England,N64,Yes
307,0y6ge1m7,308,https://www.speedrun.com/sm64/run/0y6ge1m7,,6757,6757,,,,VC,Yes
308,ylqn05kz,309,https://www.speedrun.com/sm64/run/ylqn05kz,2021-06-03T18:50:23Z,6758,6758,kj90nrj4,Kyrette,United States,VC,Yes
309,9yoxg0yx,310,https://www.speedrun.com/sm64/run/9yoxg0yx,,6760,6760,,,,N64,No
310,wzpx1rnm,311,https://www.speedrun.com/sm64/run/wzpx1rnm,2016-09-16T21:44:18Z,6765,6765,48g03yxp,wilzo,United Kingdom,N64,Yes
311,m3d8no6z,312,https://www.speedrun.com/sm64/run/m3d8no6z,2018-03-23T12:45:48Z,6766,6766,,,,N64,Yes
312,zxw7kl5m,313,https://www.speedrun.com/sm64/run/zxw7kl5m,2023-11-15T03:00:10Z,6770,6770,zx7gw1rx,Invisible_hole,United States,N64,Yes
313,y8d8eowz,314,https://www.speedrun.com/sm64/run/y8d8eowz,2021-05-26T05:24:00Z,6776,6776,8ge9k0rj,ryompt,United States,EMU,Yes
